date,ret
2020-05-14,-0.08009021925449344
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,-0.0
2020-05-20,0.0
2020-05-21,-0.0
2020-05-22,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,-0.0
2020-05-29,0.0
2020-06-01,-0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,-0.0
2020-06-09,-0.0
2020-06-10,0.0
2020-06-11,-0.0
2020-06-12,-0.14687554249565293
2020-06-15,-0.034216153117577974
2020-06-16,0.0
2020-06-17,-0.0
2020-06-18,-0.001487874102783504
2020-06-19,0.04938557948919575
2020-06-22,-0.10921019382103303
2020-06-23,-0.0
2020-06-24,-0.0
2020-06-25,-0.04258551008515754
2020-06-26,-0.0
2020-06-29,-0.06583291966455951
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-06,-0.0
2020-07-07,-0.0
2020-07-08,0.0
2020-07-09,-0.0
2020-07-10,0.0
2020-07-13,-0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,-0.0
2020-07-22,-0.0
2020-07-23,-0.0
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,-0.0
2020-07-29,0.0
2020-07-30,-0.0
2020-07-31,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,-0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,-0.0
2020-08-17,0.0
2020-08-18,-0.0
2020-08-19,-0.0
2020-08-20,0.0
2020-08-21,-0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,-0.0
2020-08-27,-0.0
2020-08-28,0.0
2020-08-31,-0.0
2020-09-01,-0.0
2020-09-02,-0.0
2020-09-03,-0.0
2020-09-04,0.0
2020-09-08,-0.0
2020-09-09,0.0
2020-09-10,-0.0
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,-0.0
2020-09-17,0.0
2020-09-18,-0.0
2020-09-21,-0.0
2020-09-22,-0.0
2020-09-23,-0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,-0.0
2020-10-01,-0.0
2020-10-02,-0.0
2020-10-05,0.0
2020-10-06,-0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,0.0
2020-10-13,-0.0
2020-10-14,-0.0
2020-10-15,-0.0
2020-10-16,-0.0
2020-10-19,-0.0
2020-10-20,-0.0
2020-10-21,0.0
2020-10-22,-0.013779067472843742
2020-10-23,-0.0017358101910889268
2020-10-26,0.08489540350487834
2020-10-27,0.0
2020-10-28,0.13894283349200975
2020-10-29,-0.08307972214430537
2020-10-30,0.028858167977666493
2020-11-02,-0.02134046605578188
2020-11-03,-0.06019406742421296
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,-0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,-0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,-0.0
2020-11-18,-0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-27,-0.0
2020-11-30,0.0
2020-12-01,-0.0
2020-12-02,0.0
2020-12-03,-0.0
2020-12-04,0.0
2020-12-07,-0.0
2020-12-08,0.0
2020-12-09,-0.0
2020-12-10,-0.0
2020-12-11,-0.0
2020-12-14,-0.0
2020-12-15,0.0
2020-12-16,-0.0
2020-12-17,0.0
2020-12-18,-0.0
2020-12-21,-0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-28,0.0
2020-12-29,-0.0
2020-12-30,0.0
2020-12-31,-0.0
2021-01-04,-0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,-0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,-0.0
2021-01-15,-0.0
2021-01-19,0.0
2021-01-20,-0.0
2021-01-21,0.0
2021-01-22,-0.0
2021-01-25,-0.0
2021-01-26,0.0
2021-01-27,-0.0
2021-01-28,-0.0368258666282677
2021-01-29,-0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,-0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,-0.0
2021-02-18,-0.0
2021-02-19,0.0
2021-02-22,-0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,-0.0
2021-02-26,0.0
2021-03-01,0.0
2021-03-02,-0.0
2021-03-03,-0.0
2021-03-04,-0.0
2021-03-05,0.0
2021-03-08,-0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,-0.0
2021-03-18,-0.0
2021-03-19,0.0
2021-03-22,0.0
2021-03-23,-0.0
2021-03-24,-0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-29,-0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-05,0.0
2021-04-06,-0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,-0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-19,-0.0
2021-04-20,-0.0
2021-04-21,-0.0
2021-04-22,-0.0
2021-04-23,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,-0.0
2021-05-03,0.0
2021-05-04,-0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-10,-0.0
2021-05-11,-0.0
2021-05-12,-0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-17,-0.0
2021-05-18,-0.0
2021-05-19,-0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,-0.0
2021-05-31,-0.0
2021-06-01,-0.0
2021-06-02,0.0
2021-06-03,-0.0
2021-06-04,0.0
2021-06-07,0.0
2021-06-08,-0.0
2021-06-09,-0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-14,0.0
2021-06-15,-0.0
2021-06-16,-0.0
2021-06-17,0.0
2021-06-18,-0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-28,-0.0
2021-06-29,-0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,-0.0
2021-07-06,-0.0
2021-07-07,-0.0
2021-07-08,-0.0
2021-07-09,0.0
2021-07-12,0.0
2021-07-13,-0.0
2021-07-14,0.0
2021-07-15,-0.0
2021-07-16,-0.0
2021-07-19,-0.0
2021-07-20,0.0
2021-07-21,-0.0
2021-07-22,-0.0
2021-07-23,0.0
2021-07-26,0.0
2021-07-27,-0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,-0.0
2021-08-02,-0.0
2021-08-03,0.0
2021-08-04,-0.0
2021-08-05,0.0
2021-08-06,0.0
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-16,0.0
2021-08-17,-0.0
2021-08-18,-0.0
2021-08-19,-0.0
2021-08-20,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,-0.0
2021-08-27,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,-0.0
2021-09-07,-0.0
2021-09-08,0.0
2021-09-09,-0.0
2021-09-10,-0.0
2021-09-13,0.0
2021-09-14,-0.0
2021-09-15,-0.0
2021-09-16,0.0
2021-09-17,-0.0
2021-09-20,-0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-27,-0.0
2021-09-28,-0.0
2021-09-29,-0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-04,-0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-11,-0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,-0.0
2021-10-21,0.0
2021-10-22,-0.0
2021-10-25,0.0
2021-10-26,-0.0
2021-10-27,-0.0
2021-10-28,0.0
2021-10-29,-0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,-0.0
2021-11-05,-0.0
2021-11-08,-0.0
2021-11-09,-0.0
2021-11-10,-0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,-0.0
2021-11-18,-0.0
2021-11-19,-0.0
2021-11-22,-0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,-0.0
2021-11-29,0.0
2021-11-30,-0.0
2021-12-01,-0.0
2021-12-02,0.0
2021-12-03,-0.0
2021-12-06,-0.10563127203676004
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,-0.0
2021-12-10,0.0
2021-12-13,-0.0
2021-12-14,-0.0
2021-12-15,0.0
2021-12-16,-0.0
2021-12-17,-0.0
2021-12-20,-0.0
2021-12-21,0.0
2021-12-22,-0.0
2021-12-23,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-03,0.0
2022-01-04,-0.0
2022-01-05,-0.0
2022-01-06,-0.0
2022-01-07,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,-0.0
2022-01-14,0.0
2022-01-17,0.0
2022-01-18,-0.0
2022-01-19,-0.0
2022-01-20,-0.0
2022-01-21,-0.0
2022-01-24,0.027448454888177487
2022-01-25,0.0032011409160506155
2022-01-26,0.016552587820182207
2022-01-27,0.006961392540286937
2022-01-28,-0.07040608902291101
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,-0.0
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,-0.0
2022-02-11,-0.0
2022-02-14,0.018878566016660603
2022-02-15,-0.11031277197629263
2022-02-16,0.0
2022-02-17,-0.0
2022-02-18,0.020819129549993765
2022-02-22,-0.006772437220089689
2022-02-23,0.059361516937121106
2022-02-24,-0.038479498200711504
2022-02-25,-0.04623650983363259
2022-02-28,0.04868534785991807
2022-03-01,0.11537311495025637
2022-03-02,-0.08136674696506097
2022-03-03,0.010080730528356785
2022-03-04,0.05274660091511274
2022-03-07,0.09896522826637799
2022-03-08,-0.02589989089964506
2022-03-09,-0.05452592184514149
2022-03-10,-0.05437860224741442
2022-03-11,0.018886917653999635
2022-03-14,0.02547908530098475
2022-03-15,-0.034226913643737866
2022-03-16,-0.10959988284188427
2022-03-17,0.0
2022-03-18,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,-0.0
2022-03-31,-0.0
2022-04-01,0.0
2022-04-04,0.0
2022-04-05,-0.0
2022-04-06,-0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-11,-0.0
2022-04-12,-0.0
2022-04-13,0.0
2022-04-14,-0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,-0.0
2022-04-21,-0.0
2022-04-22,-0.0
2022-04-25,0.0
2022-04-26,-0.0
2022-04-27,0.017016117376646545
2022-04-28,-0.05262619501039234
2022-04-29,-0.0
2022-05-02,-0.022365149459580458
2022-05-03,-0.06887748465246091
2022-05-04,0.0
2022-05-05,-0.0
2022-05-06,0.0
2022-05-09,0.09321303086185795
2022-05-10,-0.04753430022865279
2022-05-11,-0.002794598931016079
2022-05-12,-0.028704068128354798
2022-05-13,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,-0.0
2022-05-19,-0.07337610415003626
2022-05-20,-0.0
2022-05-23,0.0
2022-05-24,-0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,-0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,-0.0
2022-06-09,-0.0
2022-06-10,-0.0
2022-06-13,-0.0
2022-06-14,-0.026950912049335862
2022-06-15,-0.08150172117866017
2022-06-16,0.061035890586369046
2022-06-17,-0.03247658867790859
2022-06-21,-0.018948623129528386
2022-06-22,-0.04416696264085829
2022-06-23,-0.0
2022-06-24,0.0
2022-06-27,0.0
2022-06-28,-0.0
2022-06-29,-0.0
2022-06-30,-0.0
2022-07-01,0.0
2022-07-05,-0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-11,-0.0
2022-07-12,-0.0
2022-07-13,0.0
2022-07-14,-0.0
2022-07-15,0.0
2022-07-18,-0.0
2022-07-19,0.0
2022-07-20,-0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-25,0.0
2022-07-26,-0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-08-01,-0.0
2022-08-02,-0.0
2022-08-03,0.0
2022-08-04,-0.0
2022-08-05,0.0
2022-08-08,-0.0
2022-08-09,-0.0
2022-08-10,0.0
2022-08-11,-0.0
2022-08-12,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,-0.0
2022-08-18,0.0
2022-08-19,-0.0
2022-08-22,-0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,-0.0
2022-08-29,0.0
2022-08-30,-0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,-0.0
2022-09-06,-0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-12,0.0
2022-09-13,-0.0
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-19,0.0
2022-09-20,-0.0
2022-09-21,-0.0
2022-09-22,-0.003552401604367983
2022-09-23,0.06075021577134443
2022-09-26,0.034883431608176974
2022-09-27,0.014767523585665021
2022-09-28,-0.04864677100903991
2022-09-29,0.03452586884907349
2022-09-30,0.018572419844758326
2022-10-03,-0.049758272228760614
2022-10-04,-0.04048860561901746
2022-10-05,-0.0
2022-10-06,-0.0
2022-10-07,0.04189094170915997
2022-10-10,0.028749413285985792
2022-10-11,0.019735453979838447
2022-10-12,-0.01786862083032581
2022-10-13,-0.03543553287144707
2022-10-14,0.02794719834720283
2022-10-17,-0.02376914309706013
2022-10-18,-0.010316016694615904
2022-10-19,-0.01501823852283879
2022-10-20,-0.014579449763157282
2022-10-21,0.001000834111898996
2022-10-24,-0.021571446486812196
2022-10-25,-0.040325241148084334
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,-0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-07,0.0
2022-11-08,-0.0
2022-11-09,-0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-14,-0.0
2022-11-15,-0.0
2022-11-16,-0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-25,-0.0
2022-11-28,-0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-05,-0.0
2022-12-06,-0.0
2022-12-07,-0.0
2022-12-08,0.0
2022-12-09,-0.0
2022-12-12,-0.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,-0.0
2022-12-16,-0.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,-0.0
2022-12-22,-0.0
2022-12-23,0.0
2022-12-27,0.0
2022-12-28,-0.0
2022-12-29,0.0
2022-12-30,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,-0.0
2023-01-06,0.0
2023-01-09,-0.0
2023-01-10,0.0
2023-01-11,-0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-17,0.0
2023-01-18,-0.0
2023-01-19,-0.0
2023-01-20,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,-0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-30,-0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,-0.0
2023-02-03,-0.0
2023-02-06,-0.0
2023-02-07,0.0
2023-02-08,-0.0
2023-02-09,-0.0
2023-02-10,-0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,-0.0
2023-02-16,-0.0
2023-02-17,-0.0
2023-02-21,-0.0
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,-0.0
2023-02-27,0.0
2023-02-28,0.0
2023-03-01,-0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-06,0.0
2023-03-07,-0.0
2023-03-08,0.0
2023-03-09,-0.0
2023-03-10,-0.0
2023-03-13,-0.0
2023-03-14,0.0
2023-03-15,-0.0
2023-03-16,0.0
2023-03-17,-0.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,-0.0
2023-03-23,-0.0
2023-03-24,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-03,0.0
2023-04-04,-0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,-0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,-0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,-0.0
2023-04-20,-0.0
2023-04-21,0.0
2023-04-24,0.0
2023-04-25,-0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-05-01,0.0
2023-05-02,-0.0
2023-05-03,-0.0
2023-05-04,-0.0
2023-05-05,0.0
2023-05-08,0.0
2023-05-09,-0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-15,0.0
2023-05-16,-0.0
2023-05-17,-0.0
2023-05-18,0.0
2023-05-19,-0.0
2023-05-22,-0.0
2023-05-23,-0.0
2023-05-24,-0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,-0.0
2023-06-08,0.0
2023-06-09,-0.0
2023-06-12,-0.0
2023-06-13,0.0
2023-06-14,0.0
2023-06-15,-0.0
2023-06-16,0.0
2023-06-20,0.0
2023-06-21,-0.0
2023-06-22,0.0
2023-06-23,-0.0
2023-06-26,-0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,-0.0
2023-06-30,0.0
2023-07-03,0.0
2023-07-05,-0.0
2023-07-06,-0.0
2023-07-07,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,-0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,-0.0
2023-07-28,0.0
2023-07-31,0.0
2023-08-01,-0.0
2023-08-02,-0.0
2023-08-03,-0.0
2023-08-04,-0.0
2023-08-07,0.0
2023-08-08,-0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,0.0
2023-08-14,0.0
2023-08-15,-0.0
2023-08-16,-0.0
2023-08-17,-0.0
2023-08-18,0.0
2023-08-21,0.0
2023-08-22,-0.0
2023-08-23,0.0
2023-08-24,-0.0
2023-08-25,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-05,-0.0
2023-09-06,-0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-11,0.0
2023-09-12,-0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,-0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,-0.0
2023-09-21,-0.0
2023-09-22,-0.0
2023-09-25,-0.0
2023-09-26,-0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,-0.0
2023-10-02,-0.0
2023-10-03,-0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,-0.0
2023-10-13,-0.0
2023-10-16,0.0
2023-10-17,-0.0
2023-10-18,-0.0
2023-10-19,-0.0
2023-10-20,-0.0
2023-10-23,-0.03584965289369757
2023-10-24,0.0
2023-10-25,-0.0
2023-10-26,-0.0
2023-10-27,0.031155167779795434
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,-0.0
2023-11-10,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,-0.0
2023-11-16,0.0
2023-11-17,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,-0.0
2023-11-24,0.0
2023-11-27,-0.0
2023-11-28,0.0
2023-11-29,-0.0
2023-11-30,0.0
2023-12-01,0.0
2023-12-04,-0.0
2023-12-05,0.0
2023-12-06,-0.0
2023-12-07,-0.0
2023-12-08,0.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,-0.0
2023-12-15,-0.0
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,-0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-26,0.0
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,-0.0
2024-01-02,-0.0
2024-01-03,-0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,-0.0
2024-01-16,-0.0
2024-01-17,-0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,-0.0
2024-01-25,-0.0
2024-01-26,0.0
2024-01-29,-0.0
2024-01-30,0.0
2024-01-31,-0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,-0.0
2024-02-12,-0.0
2024-02-13,-0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-20,-0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,-0.0
2024-02-29,0.0
2024-03-01,-0.0
2024-03-04,0.0
2024-03-05,-0.0
2024-03-06,-0.0
2024-03-07,0.0
2024-03-08,-0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,-0.0
2024-03-15,-0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,-0.0
2024-03-21,0.0
2024-03-22,-0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,-0.0
2024-04-01,-0.0
2024-04-02,-0.0
2024-04-03,0.0
2024-04-04,-0.0
2024-04-05,-0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,-0.0
2024-04-11,0.0
2024-04-12,-0.0
2024-04-15,-0.0
2024-04-16,-0.008728915216485778
2024-04-17,-0.05867446980505253
2024-04-18,-0.0
2024-04-19,-0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,-0.0
2024-04-26,0.0
2024-04-29,0.0
2024-04-30,-0.0
2024-05-01,-0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-13,-0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,-0.0
2024-05-23,-0.0
2024-05-24,0.0
2024-05-28,-0.0
2024-05-29,-0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-03,0.0
2024-06-04,-0.0
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-10,-0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,-0.0
2024-06-17,0.0
2024-06-18,-0.0
2024-06-20,-0.0
2024-06-21,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,-0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,-0.0
2024-07-05,-0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,-0.0
2024-07-12,0.0
2024-07-15,-0.0
2024-07-16,-0.0
2024-07-17,-0.0
2024-07-18,-0.0
2024-07-19,-0.0
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,-0.0
2024-07-25,-0.0
2024-07-26,0.0
2024-07-29,0.0
2024-07-30,-0.0
2024-07-31,0.0
2024-08-01,-0.0
2024-08-02,-0.0
2024-08-05,-0.0
2024-08-06,-0.21964500547169674
